"Start.Date","End.Date","Response.Type","ip","Progress","Duration..in.seconds.","Finished","Recorded.Date","Response.ID","Recipient.Last.Name","Recipient.First.Name","Recipient.Email","External.Data.Reference","Location.Latitude","Location.Longitude","Distribution.Channel","User.Language","consent","state","gender","age","pid_3...Selected.Choice","pid_3...Other..please.specify....Text","pid_rep","pid_dem","pid_ind","roulette_pilot_...Age","roulette_pilot_...Gender","roulette_pilot_...Race.ethnicity","roulette_pilot_...Religion","trump_masks","date","color_box","latino","race...Selected.Choice","race...Other...Text","education","sleep","prosthetic","blind","deaf","gang_resp","gang_fam","hits","sincerity","roulette_pid","randomization_1","ResponseId","geonames.countryCode","geonames.countryName","geonames.lat","geonames.lng","tzwhere.timezone","abuseipdb.bad_isp","abuseipdb.categories","abuseipdb.reports","abuseipdb.total","abuseipdb.trusted_isp","abuseipdb.version","abuseipdb.city","abuseipdb.country","abuseipdb.host_name","abuseipdb.postal_code","apivoid.information.reverse_dns","apivoid.information.continent_code","apivoid.information.continent_name","apivoid.information.country_code","apivoid.information.country_name","apivoid.information.region_name","apivoid.information.city_name","apivoid.information.latitude","apivoid.information.longitude","apivoid.information.isp","apivoid.blacklists.detections","apivoid.blacklists.engines_count","apivoid.blacklists.detection_rate","apivoid.blacklists.scantime","censys.location.country","shodan.area_code","shodan.hostnames","shodan.country_name","shodan.vulns","shodan.longitude","shodan.city","shodan.country_code","shodan.latitude","shodan.ports","virustotal.country","virustotal.verbose_msg","virustotal.detected_urls","ip_new","maxmind.city.names.en","maxmind.country.iso_code","maxmind.country.names.en","maxmind.location.latitude","maxmind.location.longitude","maxmind.location.metro_code","maxmind.postal.code","maxmind.registered_country.names.en","maxmind.traits.ip_address","pollname","platform","apivoid.anonymity.is_vpn","blacklisted","missing_ip","duplicated","foreign_ip","funny_ip","counts","troll_count_2","untrustworthy"
"7/11/20 13:17","7/11/20 13:18",0,"71.228.136.9",100,72,1,"7/11/20 13:18","R_2fwVblttnknBuCf",NA,NA,NA,NA,31.8480072,-81.60199738,"anonymous","EN",1,11,1,2,3,"",NA,NA,3,1,2,3,1,5,"7/11/20","color",2,"4",NA,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,"rep","congress","R_2fwVblttnknBuCf",NA,NA,NA,NA,"America/New_York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c-71-228-136-9.hsd1.ga.comcast.net",NA,"North America","US","United States of America","Georgia","Atlanta",33.74900055,-84.3879776,"Comcast Cable Communications LLC",0,88,"0%",0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missing IP address",NA,"71.228.136.9","Hinesville","US","United States",31.848,-81.602,507,31313,"United States","71.228.136.9","July 2020 Study","MTurk",NA,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"7/11/20 13:17","7/11/20 13:19",0,"71.47.71.225",100,109,1,"7/11/20 13:19","R_3JCucZ3rU9UvoyL",NA,NA,NA,NA,28.48829651,-81.40609741,"anonymous","EN",1,10,1,3,1,"",NA,2,NA,1,1,3,2,6,"7/11/20","color",2,"1",NA,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,"dem","obama","R_3JCucZ3rU9UvoyL",NA,NA,NA,NA,"America/New_York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"071-047-071-225.res.spectrum.com",NA,"North America","US","United States of America","Florida","Pine Castle",28.47195053,-81.36785126,"Charter Communications Inc",0,88,"0%",0.56,NA,NA,"071-047-071-225.res.spectrum.com","United States",NA,-81.4061,"Orlando","US",28.4883,"7547",NA,"Missing IP address",NA,"71.47.71.225","Orlando","US","United States",28.4883,-81.4061,534,32839,"United States","71.47.71.225","July 2020 Study","MTurk",NA,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"7/11/20 13:17","7/11/20 13:19",0,"73.117.48.12",100,137,1,"7/11/20 13:19","R_3CNneQGbdLK9MhY",NA,NA,NA,NA,40.43240356,-79.92469788,"anonymous","EN",1,39,2,2,1,"",NA,1,NA,1,2,3,1,6,"7/11/20","color",2,"1",NA,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,"rep","congress","R_3CNneQGbdLK9MhY",NA,NA,NA,NA,"America/Chicago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c-73-117-48-12.hsd1.pa.comcast.net",NA,"North America","US","United States of America","Pennsylvania","Pittsburgh",40.44062042,-79.99588776,"Comcast Cable Communications LLC",0,88,"0%",0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missing IP address",NA,"73.117.48.12","Pittsburgh","US","United States",40.4324,-79.9247,508,15217,"United States","73.117.48.12","July 2020 Study","MTurk",NA,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"7/11/20 13:17","7/11/20 13:19",0,"204.210.213.184",100,120,1,"7/11/20 13:19","R_12FliJ8Bv8ZCxSP",NA,NA,NA,NA,42.11239624,-80.08850098,"anonymous","EN",1,39,2,4,1,"",NA,1,NA,1,2,1,1,4,"7/11/20","Inside",2,"1",NA,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,"rep","obama","R_12FliJ8Bv8ZCxSP",NA,NA,NA,NA,"America/New_York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"204-210-213-184.res.spectrum.com",NA,"North America","US","United States of America","Pennsylvania","Erie",42.12921906,-80.08506012,"Charter Communications Inc",0,88,"0%",0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missing IP address",NA,"204.210.213.184","Erie","US","United States",42.1124,-80.0885,516,16502,"United States","204.210.213.184","July 2020 Study","MTurk",NA,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"7/11/20 13:17","7/11/20 13:19",0,"172.72.119.108",100,113,1,"7/11/20 13:19","R_2rSMz1dLM5lWuyQ",NA,NA,NA,NA,35.12869263,-80.93379974,"anonymous","EN",1,34,1,3,3,"",NA,NA,2,1,2,3,1,4,"7/11/20","color",2,"1",NA,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,"dem","congress","R_2rSMz1dLM5lWuyQ",NA,NA,NA,NA,"America/New_York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cpe-172-72-119-108.carolina.res.rr.com",NA,"North America","US","United States of America","North Carolina","Charlotte",35.22708893,-80.84313202,"Charter Communications Inc",0,88,"0%",0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missing IP address",NA,"172.72.119.108","Charlotte","US","United States",35.1287,-80.9338,517,28273,"United States","172.72.119.108","July 2020 Study","MTurk",NA,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"7/11/20 13:17","7/11/20 13:19",0,"199.117.36.110",100,133,1,"7/11/20 13:19","R_3Hn9zJYTIC7HoMt",NA,NA,NA,NA,39.27330017,-94.56939697,"anonymous","EN",1,26,2,3,1,"",NA,1,NA,1,2,3,2,4,"7/11/20","color",2,"1",NA,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,"dem","obama","R_3Hn9zJYTIC7HoMt",NA,NA,NA,NA,"America/Chicago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North America","US","United States of America","Missouri","Kansas City",39.09973145,-94.5785675,"Kensington Partners",0,88,"0%",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","IP address in dataset",NA,"199.117.36.110","Kansas City","US","United States",39.2733,-94.5694,616,64155,"United States","199.117.36.110","July 2020 Study","MTurk",NA,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"7/11/20 13:17","7/11/20 13:19",0,"52.251.112.96",100,140,1,"7/11/20 13:19","R_Diq3ZCHaiKDZRKN",NA,NA,NA,NA,36.65339661,-78.375,"anonymous","EN",1,53,2,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","R_Diq3ZCHaiKDZRKN",NA,NA,NA,NA,"America/New_York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North America","US","United States of America","Virginia","Boydton",36.66764069,-78.38749695,"Microsoft Corporation",0,88,"0%",0.64,NA,NA,NA,"United States",NA,-78.375,"Boydton","US",36.6534,"3389",NA,"Missing IP address",NA,"52.251.112.96","Boydton","US","United States",36.6534,-78.375,560,23917,"United States","52.251.112.96","July 2020 Study","MTurk",NA,0,FALSE,TRUE,FALSE,TRUE,0,FALSE,TRUE
"7/11/20 13:17","7/11/20 13:19",0,"24.25.130.248",100,150,1,"7/11/20 13:19","R_wNKXSgp2TVWxkZz",NA,NA,NA,NA,43.08999634,-75.76329803,"anonymous","EN",1,33,2,2,2,"",2,NA,NA,1,3,3,2,5,"7/11/20","color",2,"1",NA,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,"dem","obama","R_wNKXSgp2TVWxkZz",NA,NA,NA,NA,"America/New_York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cpe-24-25-130-248.nycap.res.rr.com",NA,"North America","US","United States of America","New York","Oneida",43.09257126,-75.65129089,"Charter Communications Inc",0,88,"0%",0.64,NA,NA,"cpe-24-25-130-248.nycap.res.rr.com","United States",NA,-75.7633,"Canastota","US",43.09,"7547",NA,"Missing IP address",NA,"24.25.130.248","Canastota","US","United States",43.09,-75.7633,555,13032,"United States","24.25.130.248","July 2020 Study","MTurk",NA,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"7/11/20 13:17","7/11/20 13:19",0,"24.46.5.240",100,128,1,"7/11/20 13:19","R_2eOLbwcSy0HCEmh",NA,NA,NA,NA,40.94509888,-74.25309753,"anonymous","EN",1,31,2,2,2,"",1,NA,NA,1,1,3,1,5,"7/11/20","color",2,"1",NA,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,"dem","obama","R_2eOLbwcSy0HCEmh",NA,NA,NA,NA,"America/New_York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ool-182e05f0.dyn.optonline.net",NA,"North America","US","United States of America","New Jersey","Oakland",41.01314926,-74.26431274,"Optimum Online",0,88,"0%",0.58,NA,NA,"ool-182e05f0.dyn.optonline.net","United States",NA,-74.2531,"Wayne","US",40.9451,"4567",NA,"Missing IP address",NA,"24.46.5.240","Wayne","US","United States",40.9451,-74.2531,501,7470,"United States","24.46.5.240","July 2020 Study","MTurk",NA,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"7/11/20 13:17","7/11/20 13:19",0,"68.190.114.201",100,138,1,"7/11/20 13:19","R_2P6kt2LSlrOXkMn",NA,NA,NA,NA,43.12049866,-89.35230255,"anonymous","EN",1,51,1,5,1,"",NA,1,NA,2,2,3,1,5,"7/11/20","entirety",2,"1",NA,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,"rep","congress","R_2P6kt2LSlrOXkMn",NA,NA,NA,NA,"America/Chicago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"068-190-114-201.res.spectrum.com",NA,"North America","US","United States of America","Wisconsin","Madison",43.07305145,-89.40122986,"Charter Communications Inc",0,88,"0%",0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missing IP address",NA,"68.190.114.201","Madison","US","United States",43.0628,-89.3171,669,53716,"United States","68.190.114.201","July 2020 Study","MTurk",NA,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
